Barcelona,Barcelona,Spanish LALIGA,946.00,12,1
Real Madrid,Madrid,Spanish LALIGA,1360.00,10,3
Atlético Madrid,Madrid,Spanish LALIGA,511.00,9,5
Athletic Club,Bilbao,Spanish LALIGA,338.70,7,5
Villarreal,Valencia,Spanish LALIGA,230.70,7,5
Mallorca,Majorca,Spanish LALIGA,89.70,7,3
Osasuna,Pamplona,Spanish LALIGA,112.40,6,5
Racing Santander,Santander,Spanish LALIGA 2,30.50,11,4
Almería,Almería,Spanish LALIGA 2,56.50,9,4
Mirandés,Miranda de Ebro,Spanish LALIGA 2,8.90,9,4
